name,base_salary,signing_bonus,option_bonus,roster_bonus,per_game_bonus,workout_bonus,other_bonus,guaranteed_money,cap_hit_2026,dead_cap,position,age,total_contract_value,team,years_remaining,epa_total,snaps_played,games_missed,player_id
Jonah Elliss,1328702.0,272402.0,0.0,0.0,0.0,0.0,0.0,0.0,1601104.0,0.0,LB,23,0.0,DEN,1,7.967716666666667,619,7,den_lb_jonah_elliss
Nate Adkins,1165000.0,300000.0,0.0,0.0,170000.0,0.0,0.0,0.0,1555000.0,0.0,TE,27,0.0,DEN,1,3.0333,520,9,den_te_nate_adkins
Tycen Anderson,1215000.0,200000.0,0.0,0.0,85000.0,0.0,0.0,450000.0,1500000.0,0.0,DB,27,0.0,DEN,1,-2.8346,65,16,den_db_tycen_anderson
Pat Bryant,1139140.0,356560.0,0.0,0.0,0.0,0.0,0.0,0.0,1495700.0,0.0,WR,24,0.0,DEN,1,10.062375,809,4,den_wr_pat_bryant
Mitchell Fraboni,1215000.0,200000.0,0.0,0.0,0.0,0.0,0.0,0.0,1415000.0,0.0,LS,30,0.0,DEN,1,7.967716666666667,619,7,den_ls_mitchell_fraboni
Sai'vion Jones,1120054.0,280215.0,0.0,0.0,0.0,0.0,0.0,0.0,1400269.0,0.0,DL,23,0.0,DEN,1,7.967716666666667,619,7,den_dl_sai_vion_jones
Jaleel McLaughlin,1145000.0,125000.0,0.0,75000.0,85000.0,0.0,0.0,0.0,1385000.0,0.0,RB,26,0.0,DEN,1,-2.1059,1072,0,den_rb_jaleel_mclaughlin
Lucas Krull,1145000.0,100000.0,0.0,100000.0,85000.0,0.0,0.0,0.0,1360000.0,0.0,TE,28,0.0,DEN,1,1.7396,552,8,den_te_lucas_krull
Tyler Onyedim,885000.0,457785.0,0.0,0.0,0.0,0.0,0.0,0.0,1342785.0,0.0,,25,0.0,DEN,1,7.967716666666667,619,7,den_nan_tyler_onyedim
Troy Franklin,1075000.0,213709.0,0.0,0.0,0.0,0.0,0.0,0.0,1288709.0,0.0,WR,23,0.0,DEN,1,-18.6814,1040,1,den_wr_troy_franklin
Adam Prentice,1215000.0,187500.0,0.0,0.0,0.0,0.0,0.0,400000.0,1262500.0,0.0,RB,29,0.0,DEN,1,-3.25788,448,10,den_rb_adam_prentice
Lil'Jordan Humphrey,1300000.0,87500.0,0.0,0.0,100000.0,0.0,0.0,0.0,1221323.0,0.0,WR,28,0.0,DEN,1,0.2474,812,4,den_wr_lil_jordan_humphrey
Que Robinson,1005000.0,213564.0,0.0,0.0,0.0,0.0,0.0,0.0,1218564.0,0.0,LB,25,0.0,DEN,1,7.967716666666667,619,7,den_lb_que_robinson
J.L. Skinner,1145000.0,49056.0,0.0,0.0,0.0,0.0,0.0,0.0,1194056.0,0.0,DB,25,0.0,DEN,1,-2.8346,65,16,den_db_j_l__skinner
Jonah Coleman,885000.0,308606.0,0.0,0.0,0.0,0.0,0.0,0.0,1193606.0,0.0,,25,0.0,DEN,1,7.967716666666667,619,7,den_nan_jonah_coleman
Kage Casey,885000.0,299552.0,0.0,0.0,0.0,0.0,0.0,0.0,1184552.0,0.0,,25,0.0,DEN,1,7.967716666666667,619,7,den_nan_kage_casey
Alex Forsyth,1145000.0,19446.0,0.0,0.0,0.0,0.0,0.0,0.0,1164446.0,0.0,OL,27,0.0,DEN,1,0.394,65,16,den_ol_alex_forsyth
Kris Abrams-Draine,1075000.0,87068.0,0.0,0.0,0.0,0.0,0.0,0.0,1162068.0,0.0,DB,25,0.0,DEN,1,-2.8346,65,16,den_db_kris_abrams_draine
Eyioma Uwazurike,1145000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1145000.0,0.0,DL,28,0.0,DEN,1,7.967716666666667,619,7,den_dl_eyioma_uwazurike
Michael Bandy,1075000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,1085000.0,0.0,WR,29,0.0,DEN,1,10.062375,809,4,den_wr_michael_bandy
Frank Crum,1075000.0,8334.0,0.0,0.0,0.0,0.0,0.0,0.0,1083334.0,0.0,OL,26,0.0,DEN,1,0.394,65,16,den_ol_frank_crum
Lecitus Smith,1075000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1075000.0,0.0,OL,28,0.0,DEN,1,0.394,65,16,den_ol_lecitus_smith
