player_name,base_salary,signing_bonus,option_bonus,roster_bonus,per_game_bonus,workout_bonus,other_bonus,guaranteed_money,cap_hit,dead_cap,position,age,total_value,team,years_remaining,epa_total,snaps_played,games_missed
Devon Key,1075000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1075000.0,0.0,DB,29,0.0,DEN,1,,,
Dondrea Tillman,1075000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1075000.0,0.0,LB,28,0.0,DEN,1,,,
Tyler Badie,1075000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1075000.0,0.0,RB,27,0.0,DEN,1,-3.9407,195.0,14.0
Cody Schrader,1075000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1075000.0,0.0,RB,27,0.0,DEN,1,,,
Jordan Jackson,1075000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1075000.0,0.0,DL,28,0.0,DEN,1,,,
Taylor Rapp,1300000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1075000.0,0.0,DB,29,0.0,DEN,1,,,
Calvin Throckmorton,1215000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1075000.0,0.0,OL,30,0.0,DEN,1,,,
Jeremy Crawshaw,1005000.0,43570.0,0.0,0.0,0.0,0.0,0.0,0.0,1048570.0,0.0,P,25,0.0,DEN,1,,,
Nick Gargiulo,1005000.0,29000.0,0.0,0.0,0.0,0.0,0.0,0.0,1034000.0,0.0,OL,26,0.0,DEN,1,,,
Justin Joly,885000.0,126526.0,0.0,0.0,0.0,0.0,0.0,0.0,1011526.0,0.0,,0,0.0,DEN,1,,,
Karene Reid,1005000.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,1010000.0,0.0,LB,26,0.0,DEN,1,,,
Reese Taylor,1005000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1005000.0,0.0,DB,27,0.0,DEN,1,,,
Jordan Turner,1005000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1005000.0,0.0,LB,25,0.0,DEN,1,,,
