player_name,base_salary,signing_bonus,option_bonus,roster_bonus,per_game_bonus,workout_bonus,other_bonus,guaranteed_money,cap_hit,dead_cap,position,age,total_value,team,years_remaining,epa_total,snaps_played,games_missed
Hunter Nourzad,1075000.0,79879.0,0.0,0.0,0.0,0.0,0.0,0.0,1154879.0,0.0,OL,26,0.0,KC,1,,,
Jeffrey Bassa,1005000.0,103413.0,0.0,0.0,0.0,0.0,0.0,0.0,1108413.0,0.0,LB,24,0.0,KC,1,,,
Christian Roland-Wallace,1075000.0,1668.0,0.0,0.0,0.0,0.0,0.0,0.0,1076668.0,0.0,DB,25,0.0,KC,1,,,
Nikko Remigio,1075000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1075000.0,0.0,WR,27,0.0,KC,1,-0.4015,65.0,16.0
Tanner McCalister,1075000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1075000.0,0.0,DB,26,0.0,KC,1,,,
Matt Waletzko,1075000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1075000.0,0.0,OL,27,0.0,KC,1,,,
Matt Araiza,1075000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1075000.0,0.0,P,26,0.0,KC,1,,,
Jason Brownlee,1075000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1075000.0,0.0,WR,27,0.0,KC,1,,,
C.J. Hanson,1075000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1075000.0,0.0,OL,25,0.0,KC,1,,,
Brashard Smith,1005000.0,33369.0,0.0,0.0,0.0,0.0,0.0,0.0,1038369.0,0.0,RB,23,0.0,KC,1,,,
Ethan Driskell,1005000.0,13334.0,0.0,0.0,0.0,0.0,0.0,0.0,1018334.0,0.0,OL,26,0.0,KC,1,,,
Emmett Johnson,885000.0,121409.0,0.0,0.0,0.0,0.0,0.0,0.0,1006409.0,0.0,,0,0.0,KC,1,,,
Chukwuebuka Godrick,1005000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1005000.0,0.0,OL,26,0.0,KC,1,,,
Kevin Knowles II,1005000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1005000.0,0.0,DB,23,0.0,KC,1,,,
Cooper McDonald,1005000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1005000.0,0.0,LB,25,0.0,KC,1,,,
Tyreke Smith,1005000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1005000.0,0.0,LB,26,0.0,KC,1,,,
Chris Oladokun,1005000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1005000.0,0.0,QB,29,0.0,KC,1,-1.9449,65.0,16.0
Esa Pole,1005000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1005000.0,0.0,OL,25,0.0,KC,1,,,
Cyrus Allen,885000.0,94869.0,0.0,0.0,0.0,0.0,0.0,0.0,979869.0,0.0,,0,0.0,KC,1,,,
Garrett Nussmeier,885000.0,30122.0,0.0,0.0,0.0,0.0,0.0,0.0,915122.0,0.0,,0,0.0,KC,1,,,
Jake Briningstool,885000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,895000.0,0.0,TE,24,0.0,KC,1,,,
Jeff Caldwell,885000.0,8333.0,0.0,0.0,0.0,0.0,0.0,247500.0,893333.0,0.0,,0,0.0,KC,1,,,
Pete Nygra,885000.0,6666.0,0.0,0.0,0.0,0.0,0.0,247500.0,891666.0,0.0,,0,0.0,KC,1,,,
Bryce Phillips,885000.0,6666.0,0.0,0.0,0.0,0.0,0.0,247500.0,891666.0,0.0,,0,0.0,KC,1,,,
DeShon Singleton,885000.0,6666.0,0.0,0.0,0.0,0.0,0.0,247500.0,891666.0,0.0,,0,0.0,KC,1,,,
Vincent Anthony,885000.0,6666.0,0.0,0.0,0.0,0.0,0.0,247500.0,891666.0,0.0,,0,0.0,KC,1,,,
John Michael Gyllenborg,885000.0,6666.0,0.0,0.0,0.0,0.0,0.0,247500.0,891666.0,0.0,,0,0.0,KC,1,,,
Josh Thompson,885000.0,6666.0,0.0,0.0,0.0,0.0,0.0,247500.0,891666.0,0.0,DB,28,0.0,KC,1,,,
Xavier Nwankpa,885000.0,6666.0,0.0,0.0,0.0,0.0,0.0,247500.0,891666.0,0.0,,0,0.0,KC,1,,,
Zelmar Vedder,885000.0,3333.0,0.0,0.0,0.0,0.0,0.0,175000.0,888333.0,0.0,,0,0.0,KC,1,,,
Wesley Bissainthe,885000.0,3333.0,0.0,0.0,0.0,0.0,0.0,159000.0,888333.0,0.0,,0,0.0,KC,1,,,
Cole Brevard,885000.0,3333.0,0.0,0.0,0.0,0.0,0.0,50000.0,888333.0,0.0,,0,0.0,KC,1,,,
Damon Payne Jr.,885000.0,1666.0,0.0,0.0,0.0,0.0,0.0,75000.0,886666.0,0.0,,0,0.0,KC,1,,,
Omari Evans,885000.0,1666.0,0.0,0.0,0.0,0.0,0.0,80000.0,886666.0,0.0,,0,0.0,KC,1,,,
Ethan Downs,885000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,885000.0,0.0,LB,24,0.0,KC,1,,,
Marcus Harris,885000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,885000.0,0.0,DL,26,0.0,KC,1,,,
Tre Watson,885000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,885000.0,0.0,TE,24,0.0,KC,1,,,
Andrew Armstrong,885000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,885000.0,0.0,WR,26,0.0,KC,1,,,
Jimmy Holiday,885000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,885000.0,0.0,WR,25,0.0,KC,1,,,
Melvin Smith,885000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,885000.0,0.0,DB,24,0.0,KC,1,,,
Jacob De Jesus,885000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,885000.0,0.0,,0,0.0,KC,1,,,
Kahlil Benson,885000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,885000.0,0.0,,0,0.0,KC,1,,,
Xavier Loyd,885000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,885000.0,0.0,,0,0.0,KC,1,,,
E.J. Smith,885000.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,885000.0,0.0,,0,0.0,KC,1,,,
D'Arco Perkins-McAllister,885000.0,0.0,0.0,0.0,0.0,0.0,0.0,175000.0,885000.0,0.0,,0,0.0,KC,1,,,
Amari McNeill,885000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,885000.0,0.0,,0,0.0,KC,1,,,
Anthony Dunn,885000.0,0.0,0.0,0.0,0.0,0.0,0.0,15000.0,885000.0,0.0,,0,0.0,KC,1,,,
Jaydn Ott,885000.0,0.0,0.0,0.0,0.0,0.0,0.0,75000.0,885000.0,0.0,,0,0.0,KC,1,,,
Kam Arnold,885000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,885000.0,0.0,LB,24,0.0,KC,1,,,
Baker Mayfield,10000000.0,11975000.0,0.0,17000000.0,0.0,0.0,1000000.0,0.0,39975000.0,0.0,QB,31,0.0,TB,1,44.1436,1105.0,0.0
Tristan Wirfs,26000000.0,10328582.0,0.0,0.0,0.0,0.0,0.0,26000000.0,36328582.0,0.0,OL,27,0.0,TB,1,,,
Chris Godwin,22000000.0,11683000.0,0.0,0.0,0.0,0.0,0.0,22000000.0,33683000.0,0.0,WR,30,0.0,TB,1,20.4353,780.0,5.0
"Antoine Winfield, Jr.",19500000.0,7966000.0,0.0,0.0,0.0,0.0,0.0,0.0,27466000.0,0.0,DB,28,0.0,TB,1,,,
Vita Vea,17000000.0,4194462.0,0.0,0.0,1000000.0,0.0,0.0,0.0,22194462.0,0.0,DL,31,0.0,TB,1,,,
A'Shawn Robinson,3150000.0,0.0,0.0,6000000.0,850000.0,0.0,0.0,9150000.0,10000000.0,0.0,DL,31,0.0,TB,1,,,
Alex Anzalone,1300000.0,0.0,0.0,7700000.0,0.0,0.0,0.0,9000000.0,9000000.0,0.0,LB,32,0.0,TB,1,,,
Ben Bredeson,7500000.0,1266000.0,0.0,0.0,0.0,0.0,0.0,5000000.0,8766000.0,0.0,OL,28,0.0,TB,1,,,
Luke Goedeke,1215000.0,5929950.0,0.0,20275000.0,510000.0,0.0,0.0,1215000.0,7474950.0,0.0,OL,28,0.0,TB,1,,,
Kenneth Gainwell,1830000.0,0.0,0.0,5000000.0,170000.0,0.0,0.0,6830000.0,7000000.0,0.0,RB,27,0.0,TB,1,,,
Anthony Nelson,4000000.0,866000.0,0.0,500000.0,0.0,0.0,0.0,0.0,5366000.0,0.0,LB,29,0.0,TB,1,,,
Zyon McCollum,1215000.0,3650300.0,0.0,0.0,510000.0,0.0,0.0,1215000.0,5255300.0,0.0,DB,27,0.0,TB,1,,,
Al-Quadin Muhammad,1800000.0,0.0,0.0,2000000.0,200000.0,0.0,1250000.0,2500000.0,5250000.0,0.0,DL,31,0.0,TB,1,,,
Calijah Kancey,2726382.0,1885177.0,0.0,0.0,0.0,0.0,0.0,2726382.0,4611559.0,0.0,DL,25,0.0,TB,1,,,
Rueben Bain,885000.0,3435044.0,0.0,0.0,0.0,0.0,0.0,885000.0,4320044.0,0.0,,0,0.0,TB,1,,,
Cody Mauch,3674000.0,610994.0,0.0,0.0,0.0,0.0,0.0,0.0,4284994.0,0.0,OL,27,0.0,TB,1,,,
Cade Otton,1215000.0,2928333.0,0.0,8785000.0,0.0,0.0,0.0,1215000.0,4143333.0,0.0,TE,27,0.0,TB,1,5.6727,975.0,2.0
Emeka Egbuka,1005000.0,2464133.0,0.0,661033.0,0.0,0.0,0.0,1666033.0,4130166.0,0.0,WR,24,0.0,TB,1,,,
YaYa Diaby,3674000.0,243711.0,0.0,0.0,0.0,0.0,0.0,0.0,3917711.0,0.0,LB,27,0.0,TB,1,,,
Graham Barton,1622373.0,1755446.0,0.0,447851.0,0.0,0.0,0.0,2070223.0,3825670.0,0.0,OL,24,0.0,TB,1,,,
Chase McLaughlin,3800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3800000.0,0.0,K,30,0.0,TB,1,,,
Sean Tucker,3520000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3520000.0,0.0,RB,25,0.0,TB,1,3.9881,455.0,10.0
Riley Dixon,2500000.0,0.0,0.0,500000.0,0.0,0.0,0.0,0.0,3000000.0,0.0,P,33,0.0,TB,1,,,
Josiah Trotter,885000.0,1097471.0,0.0,0.0,0.0,0.0,0.0,885000.0,1982471.0,0.0,,0,0.0,TB,1,,,
Benjamin Morrison,1213453.0,653811.0,0.0,0.0,0.0,0.0,0.0,1213453.0,1867264.0,0.0,DB,22,0.0,TB,1,,,
Chris Braswell,1411836.0,438672.0,0.0,0.0,0.0,0.0,0.0,232247.0,1850508.0,0.0,LB,25,0.0,TB,1,,,
Miles Killebrew,1300000.0,0.0,0.0,490000.0,0.0,0.0,0.0,0.0,1790000.0,0.0,DB,33,0.0,TB,1,,,
Tykee Smith,1312002.0,239003.0,0.0,0.0,0.0,0.0,0.0,0.0,1551005.0,0.0,DB,25,0.0,TB,1,,,
Christian Rozeboom,1550000.0,0.0,0.0,335000.0,0.0,0.0,0.0,950000.0,1550000.0,0.0,LB,29,0.0,TB,1,,,
Jalen McMillan,1309820.0,234641.0,0.0,0.0,0.0,0.0,0.0,0.0,1544461.0,0.0,WR,25,0.0,TB,1,14.5635,845.0,4.0
Jacob Parrish,1128575.0,314299.0,0.0,0.0,0.0,0.0,0.0,0.0,1442874.0,0.0,DB,22,0.0,TB,1,,,
Ko Kieft,1462500.0,0.0,0.0,187500.0,0.0,0.0,0.0,600000.0,1402500.0,0.0,TE,28,0.0,TB,1,-1.3343,195.0,14.0
Justin Skule,1215000.0,0.0,0.0,187500.0,0.0,0.0,0.0,400000.0,1402500.0,0.0,OL,30,0.0,TB,1,,,
Jake Browning,1145000.0,0.0,0.0,187500.0,0.0,0.0,0.0,400000.0,1332500.0,0.0,QB,30,0.0,TB,1,,,
Rakeem Nunez-Roches,1300000.0,0.0,0.0,0.0,0.0,0.0,0.0,300000.0,1300000.0,0.0,DL,33,0.0,TB,1,,,
Dan Feeney,1300000.0,0.0,0.0,187500.0,0.0,0.0,0.0,1000000.0,1262500.0,0.0,OL,32,0.0,TB,1,,,
Bucky Irving,1075000.0,182888.0,0.0,0.0,0.0,0.0,0.0,0.0,1257888.0,0.0,RB,24,0.0,TB,1,36.3974,1105.0,0.0
Ted Hurst,885000.0,372465.0,0.0,0.0,0.0,0.0,0.0,0.0,1257465.0,0.0,,0,0.0,TB,1,,,
SirVocea Dennis,1145000.0,79332.0,0.0,0.0,0.0,0.0,0.0,0.0,1224332.0,0.0,LB,26,0.0,TB,1,,,
Payne Durham,1145000.0,61245.0,0.0,0.0,0.0,0.0,0.0,0.0,1206245.0,0.0,TE,26,0.0,TB,1,3.8571,357.0,11.0
Josh Hayes,1145000.0,51094.0,0.0,0.0,0.0,0.0,0.0,0.0,1196094.0,0.0,DB,27,0.0,TB,1,,,
Keionte Scott,885000.0,292164.0,0.0,0.0,0.0,0.0,0.0,0.0,1177164.0,0.0,,0,0.0,TB,1,,,
Chase Lucas,1145000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1145000.0,0.0,DB,29,0.0,TB,1,,,
David Walker,885000.0,240814.0,0.0,0.0,0.0,0.0,0.0,0.0,1125814.0,0.0,LB,26,0.0,TB,1,,,
Elijah Klein,1075000.0,34597.0,0.0,0.0,0.0,0.0,0.0,0.0,1109597.0,0.0,OL,26,0.0,TB,1,,,
Elijah Roberts,1005000.0,102449.0,0.0,0.0,0.0,0.0,0.0,0.0,1107449.0,0.0,DL,25,0.0,TB,1,,,
Scott Daly,1215000.0,0.0,0.0,25000.0,0.0,0.0,0.0,0.0,1100000.0,0.0,LS,32,0.0,TB,1,,,
Devin Culp,1075000.0,21546.0,0.0,0.0,0.0,0.0,0.0,0.0,1096546.0,0.0,TE,26,0.0,TB,1,7.8495,130.0,15.0
Kameron Johnson,1075000.0,3334.0,0.0,0.0,0.0,0.0,0.0,0.0,1078334.0,0.0,WR,24,0.0,TB,1,-0.6563,195.0,14.0
David Sills,1215000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1075000.0,0.0,WR,31,0.0,TB,1,,,
Mohamed Kamara,1075000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1075000.0,0.0,LB,26,0.0,TB,1,,,
Evan Deckers,1075000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1075000.0,0.0,LS,27,0.0,TB,1,,,
Damarion Williams,1075000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1075000.0,0.0,DB,28,0.0,TB,1,,,
Kemon Hall,1215000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1075000.0,0.0,DB,29,0.0,TB,1,,,
Tez Johnson,1005000.0,30985.0,0.0,0.0,0.0,0.0,0.0,0.0,1035985.0,0.0,WR,24,0.0,TB,1,,,
Ben Chukwuma,1005000.0,18333.0,0.0,0.0,0.0,0.0,0.0,0.0,1023333.0,0.0,,0,0.0,TB,1,,,
