otc_name,otc_team,otc_position,nfl_name,nfl_team,nfl_position,match_score
Caden Fordham,TB,,,,,0.0
Dean Patterson,TB,,,,,0.0
Yasir Holmes,TB,,,,,0.0
Kadarius Calloway,TB,,,,,0.0
Marshall Foerner,TB,,,,,0.0
Nash Hutmacher,TB,,,,,0.0
Dennis Houston,TB,,,,,0.0
Jayson Jones,TB,,,,,0.0
Ben Scott,TB,,,,,0.0
Haggai Chisom Ndubuisi,TB,,,,,0.0
B.T. Potter,TB,,,,,0.0
Lane Johnson,PHI,,Johnny Wilson,PHI,WR,64.0
Jordan Mailata,PHI,,,,,0.0
Landon Dickerson,PHI,,,,,0.0
Zack Baun,PHI,,,,,0.0
Jalen Carter,PHI,,Jalen Hurts,PHI,QB,69.56521739130434
Jonathan Greenard,PHI,,,,,0.0
Cam Jurgens,PHI,,,,,0.0
Jordan Davis,PHI,,,,,0.0
Jake Elliott,PHI,,,,,0.0
Quinyon Mitchell,PHI,,,,,0.0
Tyler Steen,PHI,,,,,0.0
Nolan Smith,PHI,,Ainias Smith,PHI,WR,69.56521739130434
Makai Lemon,PHI,,,,,0.0
Moro Ojomo,PHI,,,,,0.0
Tariq Woolen,PHI,,,,,0.0
Jihaad Campbell,PHI,,Parris Campbell,PHI,WR,66.66666666666667
Cooper DeJean,PHI,,,,,0.0
Dontayvion Wicks,PHI,,,,,0.0
Marquise Brown,PHI,,,,,0.0
Arnold Ebiketie,PHI,,,,,0.0
Andrew Mukuba,PHI,,,,,0.0
Eli Stowers,PHI,,,,,0.0
Jalyx Hunt,PHI,,Jalen Hurts,PHI,QB,66.66666666666667
Byron Young,PHI,,,,,0.0
Andy Dalton,PHI,,,,,0.0
Tank Bigsby,PHI,,,,,0.0
Fred Johnson,PHI,,,,,0.0
Marcus Epps,PHI,,,,,0.0
Jonathan Jones,PHI,,John Ross,PHI,WR,60.86956521739131
Michael Carter II,PHI,,,,,0.0
Kelee Ringo,PHI,,,,,0.0
Johnny Mundt,PHI,,Johnny Wilson,PHI,WR,64.0
Ty Robinson,PHI,,,,,0.0
Joe Tryon-Shoyinka,PHI,,,,,0.0
A.J. Epenesa,PHI,,,,,0.0
Elijah Moore,PHI,,,,,0.0
J.T. Gray,PHI,,,,,0.0
John Ojukwu,PHI,,John Ross,PHI,WR,60.0
Ambry Thomas,PHI,,,,,0.0
Jeremiah Trotter Jr.,PHI,,,,,0.0
Stone Smartt,PHI,,,,,0.0
Dameon Pierce,PHI,,,,,0.0
Tariq Castro-Fields,PHI,,,,,0.0
Jakorian Bennett,PHI,,,,,0.0
Ta'Quon Graham,PHI,,,,,0.0
Mac McWilliams,PHI,,,,,0.0
Smael Mondon Jr.,PHI,,,,,0.0
Drew Kendall,PHI,,,,,0.0
Samori Toure,PHI,,,,,0.0
Michael Jordan,PHI,,,,,0.0
Elijah Mitchell,PHI,,,,,0.0
Chance Campbell,PHI,,Parris Campbell,PHI,WR,66.66666666666667
Darius Cooper,PHI,,,,,0.0
Cameron Latu,PHI,,,,,0.0
Danny Gray,PHI,,,,,0.0
Jose Ramirez,PHI,,,,,0.0
Carson Steele,PHI,,,,,0.0
Brandon Johnson,PHI,,Braden Mann,PHI,P,61.53846153846154
Andre' Sam,PHI,,D'Andre Swift,PHI,RB,66.66666666666667
Cole Payton,PHI,,,,,0.0
Cameron Williams,PHI,,,,,0.0
Micah Morris,PHI,,,,,0.0
Myles Hinton,PHI,,,,,0.0
Cole Wisniewski,PHI,,,,,0.0
Uar Bernard,PHI,,,,,0.0
Keyshawn James-Newby,PHI,,,,,0.0
Kapena Gushiken,PHI,,,,,0.0
Zion Wilson,PHI,,,,,0.0
Maximus Pulley,PHI,,,,,0.0
Joshua Weru,PHI,,,,,0.0
Dae'Quan Wright,PHI,,,,,0.0
Rocco Underwood,PHI,,,,,0.0
Jaeden Roberts,PHI,,,,,0.0
Deontae Lawson,PHI,,,,,0.0
Markel Bell,PHI,,,,,0.0
Willie Lampkin,PHI,,,,,0.0
Jake Majors,PHI,,,,,0.0
Gabe Hall,PHI,,,,,0.0
Hollin Pierce,PHI,,,,,0.0
