otc_name,otc_team,otc_position,nfl_name,nfl_team,nfl_position,match_score
Chris Jones,KC,,Chris Oladokun,KC,QB,64.0
Trey Smith,KC,,JuJu Smith-Schuster,KC,WR,50.0
Nick Bolton,KC,,Tyquan Thornton,KC,WR,46.15384615384615
Jaylon Moore,KC,,Mike Caliendo,KC,OL,48.0
Creed Humphrey,KC,,Jared Wiley,KC,TE,48.0
Kristian Fulton,KC,,Tyquan Thornton,KC,WR,46.666666666666664
Mansoor Delane,KC,,DeAndre Hopkins,KC,WR,55.172413793103445
George Karlaftis,KC,,Travis Kelce,KC,TE,50.0
Harrison Butker,KC,,Justin Watson,KC,WR,50.0
Kenneth Walker III,KC,,Samaje Perine,KC,RB,44.44444444444444
Drue Tranquill,KC,,Travis Kelce,KC,TE,46.15384615384615
Chamarri Conner,KC,,Kadarius Toney,KC,WR,55.172413793103445
Felix Anudike-Uzomah,KC,,Nikko Remigio,KC,WR,43.75
Alohi Gilman,KC,,Chris Oladokun,KC,QB,46.15384615384615
Josh Simmons,KC,,Justin Watson,KC,WR,48.0
Peter Woods,KC,,Samaje Perine,KC,RB,41.666666666666664
Khyiris Tonga,KC,,Kadarius Toney,KC,WR,59.25925925925925
Justin Fields,KC,,Justin Watson,KC,WR,46.15384615384615
R Mason Thomas,KC,,DeAndre Hopkins,KC,WR,48.275862068965516
Kader Kohou,KC,,Kadarius Toney,KC,WR,48.0
Kaiir Elam,KC,,Richie James,KC,WR,45.45454545454546
Kingsley Suamataia,KC,,Samaje Perine,KC,RB,51.61290322580645
James Winchester,KC,,Richie James,KC,WR,71.42857142857143
Omarr Norman-Lott,KC,,Keaontay Ingram,KC,RB,45.16129032258065
Ashton Gillotte,KC,,Carson Steele,KC,RB,50.0
Nohl Williams,KC,,Justin Watson,KC,WR,38.46153846153846
Jack Cochrane,KC,,Chris Oladokun,KC,QB,44.44444444444444
Emari Demercado,KC,,Mike Caliendo,KC,OL,50.0
Jalen Royals,KC,,Justyn Ross,KC,WR,52.17391304347826
L'Jarius Sneed,KC,,Kadarius Toney,KC,WR,59.25925925925925
Cole Christiansen,KC,,Mecole Hardman,KC,WR,58.06451612903225
Jadon Canady,KC,,Jaden Hicks,KC,DB,52.17391304347826
Hunter Nourzad,KC,,Kareem Hunt,KC,RB,48.0
Jeffrey Bassa,KC,,La'Mical Perine,KC,RB,44.44444444444444
Christian Roland-Wallace,KC,,Chris Oladokun,KC,QB,54.054054054054056
Tanner McCalister,KC,,La'Mical Perine,KC,RB,51.61290322580645
Matt Waletzko,KC,,Carson Wentz,KC,QB,48.0
Matt Araiza,KC,,Samaje Perine,KC,RB,41.666666666666664
Jason Brownlee,KC,,Marquise Brown,KC,WR,57.14285714285714
C.J. Hanson,KC,,Justin Watson,KC,WR,54.54545454545454
Brashard Smith,KC,,Donovan Smith,KC,OL,51.85185185185186
Top 51 Cutoff,KC,,Justin Watson,KC,WR,43.47826086956522
Ethan Driskell,KC,,Kadarius Toney,KC,WR,50.0
Emmett Johnson,KC,,Tommy Townsend,KC,P,50.0
Chukwuebuka Godrick,KC,,Patrick Mahomes,KC,QB,41.17647058823529
Kevin Knowles II,KC,,DeAndre Hopkins,KC,WR,42.85714285714286
Cooper McDonald,KC,,Jerick McKinnon,KC,RB,46.666666666666664
Tyreke Smith,KC,,JuJu Smith-Schuster,KC,WR,46.666666666666664
Esa Pole,KC,,Isiah Pacheco,KC,RB,47.61904761904761
Cyrus Allen,KC,,Baylor Cupp,KC,TE,45.45454545454546
Garrett Nussmeier,KC,,Jared Wiley,KC,TE,42.85714285714286
Jake Briningstool,KC,,Chris Oladokun,KC,QB,45.16129032258065
Jeff Caldwell,KC,,Mike Caliendo,KC,OL,46.15384615384615
Pete Nygra,KC,,Keaontay Ingram,KC,RB,56.00000000000001
Bryce Phillips,KC,,DeAndre Hopkins,KC,WR,41.379310344827594
DeShon Singleton,KC,,Peyton Hendershot,KC,TE,60.60606060606061
Vincent Anthony,KC,,Carson Wentz,KC,QB,51.85185185185186
John Michael Gyllenborg,KC,,Mike Caliendo,KC,OL,44.44444444444444
Josh Thompson,KC,,Justin Watson,KC,WR,53.84615384615385
Xavier Nwankpa,KC,,Xavier Worthy,KC,WR,59.25925925925925
Zelmar Vedder,KC,,Clyde Edwards-Helaire,KC,RB,42.42424242424242
Wesley Bissainthe,KC,,Jared Wiley,KC,TE,50.0
Cole Brevard,KC,,Mecole Hardman,KC,WR,61.53846153846154
Damon Payne Jr.,KC,,La'Mical Perine,KC,RB,48.0
Omari Evans,KC,,Donovan Smith,KC,OL,50.0
Ethan Downs,KC,,Donovan Smith,KC,OL,50.0
Marcus Harris,KC,,Chris Oladokun,KC,QB,51.85185185185186
Tre Watson,KC,,Justin Watson,KC,WR,69.56521739130434
Andrew Armstrong,KC,,Kadarius Toney,KC,WR,53.333333333333336
Jimmy Holiday,KC,,Mike Caliendo,KC,OL,38.46153846153846
