otc_name,otc_team,otc_position,nfl_name,nfl_team,nfl_position,match_score
Melvin Smith,KC,,Donovan Smith,KC,OL,64.0
Jacob De Jesus,KC,,Samaje Perine,KC,RB,37.03703703703704
Kahlil Benson,KC,,Marquise Brown,KC,WR,44.44444444444444
Xavier Loyd,KC,,Xavier Worthy,KC,WR,75.0
E.J. Smith,KC,,Donovan Smith,KC,OL,57.14285714285714
D'Arco Perkins-McAllister,KC,,Samaje Perine,KC,RB,50.0
Amari McNeill,KC,,Kadarius Toney,KC,WR,51.85185185185186
Anthony Dunn,KC,,Tyquan Thornton,KC,WR,51.85185185185186
Jaydn Ott,KC,,Justyn Ross,KC,WR,50.0
Kam Arnold,KC,,Kareem Hunt,KC,RB,47.61904761904761
Tristan Wirfs,TB,,Chris Godwin,TB,WR,48.0
"Antoine Winfield, Jr.",TB,,Baker Mayfield,TB,QB,53.333333333333336
Vita Vea,TB,,Kyle Trask,TB,QB,44.44444444444444
A'Shawn Robinson,TB,,Sterling Shepard,TB,WR,45.16129032258065
Alex Anzalone,TB,,Jalen McMillan,TB,WR,44.44444444444444
Ben Bredeson,TB,,Chase Edmonds,TB,RB,48.0
Luke Goedeke,TB,,Sean Tucker,TB,RB,43.47826086956522
Kenneth Gainwell,TB,,David Wells,TB,TE,44.44444444444444
Anthony Nelson,TB,,Kameron Johnson,TB,WR,48.275862068965516
Zyon McCollum,TB,,Ryan Miller,TB,WR,50.0
Al-Quadin Muhammad,TB,,Jalen McMillan,TB,WR,45.16129032258065
Calijah Kancey,TB,,Kameron Johnson,TB,WR,41.379310344827594
Rueben Bain,TB,,David Moore,TB,WR,45.45454545454546
Cody Mauch,TB,,Rachaad White,TB,RB,34.78260869565217
Emeka Egbuka,TB,,Mike Evans,TB,WR,45.45454545454546
YaYa Diaby,TB,,Payne Durham,TB,TE,45.45454545454546
Graham Barton,TB,,Rakim Jarrett,TB,WR,53.84615384615385
Chase McLaughlin,TB,,Chase Edmonds,TB,RB,55.172413793103445
Riley Dixon,TB,,David Moore,TB,WR,45.45454545454546
Josiah Trotter,TB,,Sean Tucker,TB,RB,48.0
Benjamin Morrison,TB,,Jalen McMillan,TB,WR,45.16129032258065
Chris Braswell,TB,,David Wells,TB,TE,48.0
Miles Killebrew,TB,,Baker Mayfield,TB,QB,48.275862068965516
Tykee Smith,TB,,Mike Evans,TB,WR,47.61904761904761
Christian Rozeboom,TB,,Chris Godwin,TB,WR,46.666666666666664
Jacob Parrish,TB,,Rakim Jarrett,TB,WR,38.46153846153846
Justin Skule,TB,,J.J. Russell,TB,LB,45.45454545454546
Jake Browning,TB,,Kameron Johnson,TB,WR,42.85714285714286
Rakeem Nunez-Roches,TB,,Rakim Jarrett,TB,WR,45.16129032258065
Dan Feeney,TB,,Payne Durham,TB,TE,45.45454545454546
Ted Hurst,TB,,Chris Godwin,TB,WR,47.61904761904761
SirVocea Dennis,TB,,Mike Evans,TB,WR,48.0
Josh Hayes,TB,,Chase Edmonds,TB,RB,52.17391304347826
Keionte Scott,TB,,Ko Kieft,TB,TE,47.61904761904761
Chase Lucas,TB,,Chase Edmonds,TB,RB,58.33333333333333
David Walker,TB,,David Wells,TB,TE,69.56521739130434
Elijah Klein,TB,,Jalen McMillan,TB,WR,46.15384615384615
Elijah Roberts,TB,,Sean Tucker,TB,RB,40.0
Scott Daly,TB,,Cade Otton,TB,TE,50.0
David Sills,TB,,David Wells,TB,TE,81.81818181818181
Mohamed Kamara,TB,,Baker Mayfield,TB,QB,50.0
Top 51 Cutoff,TB,,Cade Otton,TB,TE,40.0
Evan Deckers,TB,,Devin Culp,TB,TE,45.45454545454546
Damarion Williams,TB,,David Wells,TB,TE,57.14285714285714
Kemon Hall,TB,,Chase Edmonds,TB,RB,60.86956521739131
Tez Johnson,TB,,Kameron Johnson,TB,WR,69.23076923076923
Ben Chukwuma,TB,,Jalen McMillan,TB,WR,46.15384615384615
DeMonte Capehart,TB,,Chase Edmonds,TB,RB,55.172413793103445
Billy Schrauth,TB,,Ryan Miller,TB,WR,48.0
Luke Haggard,TB,,Rachaad White,TB,RB,48.0
Elijah Simmons,TB,,Chase Edmonds,TB,RB,44.44444444444444
Connor Bazelak,TB,,Cade Otton,TB,TE,41.666666666666664
John Bullock,TB,,Bucky Irving,TB,RB,50.0
Rashad Wisdom,TB,,Rachaad White,TB,RB,61.53846153846154
Nick Jackson,TB,,Mike Evans,TB,WR,45.45454545454546
Josh Williams,TB,,Jalen McMillan,TB,WR,44.44444444444444
Marcus Banks,TB,,Baker Mayfield,TB,QB,46.15384615384615
Bauer Sharp,TB,,Baker Mayfield,TB,QB,48.0
Garrett Greene,TB,,Rakim Jarrett,TB,WR,59.25925925925925
Paul Rubelt,TB,,Trey Palmer,TB,WR,54.54545454545454
Ja'Qurious Conley,TB,,Kameron Johnson,TB,WR,38.70967741935484
J.J. Roberts,TB,,J.J. Russell,TB,LB,50.0
Eric Rivers,TB,,Trey Palmer,TB,WR,45.45454545454546
Jalon Daniels,TB,,David Wells,TB,TE,50.0
Ayden Garnes,TB,,Jalen McMillan,TB,WR,46.15384615384615
Javin Wright,TB,,David Moore,TB,WR,43.47826086956522
Henry Lutovsky,TB,,Kyle Trask,TB,QB,41.666666666666664
Jack Pyburn,TB,,Bucky Irving,TB,RB,43.47826086956522
Josiah Green,TB,,Deven Thompkins,TB,WR,44.44444444444444
Deshawn McKnight,TB,,Mike Evans,TB,WR,46.15384615384615
Kenny Fletcher Jr.,TB,,Trey Palmer,TB,WR,48.0
Caden Fordham,TB,,Cade Otton,TB,TE,52.17391304347826
Dean Patterson,TB,,Cade Otton,TB,TE,58.33333333333333
Yasir Holmes,TB,,Kyle Trask,TB,QB,45.45454545454546
Kadarius Calloway,TB,,Devin Culp,TB,TE,37.03703703703704
Marshall Foerner,TB,,Tavierre Thomas,TB,DB,45.16129032258065
Nash Hutmacher,TB,,Tavierre Thomas,TB,DB,48.275862068965516
Dennis Houston,TB,,Cade Otton,TB,TE,58.33333333333333
Jayson Jones,TB,,Kameron Johnson,TB,WR,51.85185185185186
Ben Scott,TB,,Cade Otton,TB,TE,52.63157894736843
Haggai Chisom Ndubuisi,TB,,Chris Godwin,TB,WR,47.05882352941176
B.T. Potter,TB,,Cade Otton,TB,TE,42.10526315789473
Lane Johnson,PHI,,Johnny Wilson,PHI,WR,64.0
Jordan Mailata,PHI,,Marcus Mariota,PHI,QB,50.0
Landon Dickerson,PHI,,Braden Mann,PHI,P,51.85185185185186
Zack Baun,PHI,,Braden Mann,PHI,P,50.0
Jalen Carter,PHI,,Jalen Hurts,PHI,QB,69.56521739130434
Jonathan Greenard,PHI,,Jahan Dotson,PHI,WR,48.275862068965516
Cam Jurgens,PHI,,E.J. Jenkins,PHI,TE,47.61904761904761
Jordan Davis,PHI,,Tyrion Davis-Price,PHI,RB,55.172413793103445
Jake Elliott,PHI,,Jalen Hurts,PHI,QB,43.47826086956522
Quinyon Mitchell,PHI,,Kenneth Gainwell,PHI,RB,43.75
Tyler Steen,PHI,,Tanner McKee,PHI,QB,52.17391304347826
Nolan Smith,PHI,,Ainias Smith,PHI,WR,69.56521739130434
Makai Lemon,PHI,,DeVonta Smith,PHI,WR,50.0
Moro Ojomo,PHI,,Marcus Mariota,PHI,QB,41.666666666666664
Tariq Woolen,PHI,,Britain Covey,PHI,WR,48.0
Jihaad Campbell,PHI,,Parris Campbell,PHI,WR,66.66666666666667
Cooper DeJean,PHI,,Jahan Dotson,PHI,WR,48.0
Dontayvion Wicks,PHI,,DeVonta Smith,PHI,WR,48.275862068965516
Marquise Brown,PHI,,Braden Mann,PHI,P,48.0
Arnold Ebiketie,PHI,,Kenneth Gainwell,PHI,RB,45.16129032258065
Andrew Mukuba,PHI,,Braden Mann,PHI,P,50.0
Eli Stowers,PHI,,Tanner McKee,PHI,QB,43.47826086956522
Jalyx Hunt,PHI,,Jalen Hurts,PHI,QB,66.66666666666667
Byron Young,PHI,,Braden Mann,PHI,P,45.45454545454546
Andy Dalton,PHI,,Johnny Wilson,PHI,WR,50.0
Tank Bigsby,PHI,,Britain Covey,PHI,WR,41.666666666666664
Fred Johnson,PHI,,Johnny Wilson,PHI,WR,56.00000000000001
Marcus Epps,PHI,,Marcus Mariota,PHI,QB,48.0
Jonathan Jones,PHI,,John Ross,PHI,WR,60.86956521739131
Michael Carter II,PHI,,Grant Calcaterra,PHI,TE,46.666666666666664
Kelee Ringo,PHI,,Tanner McKee,PHI,QB,43.47826086956522
Johnny Mundt,PHI,,Johnny Wilson,PHI,WR,64.0
Ty Robinson,PHI,,Boston Scott,PHI,RB,52.17391304347826
Joe Tryon-Shoyinka,PHI,,John Ross,PHI,WR,46.15384615384615
A.J. Epenesa,PHI,,E.J. Jenkins,PHI,TE,50.0
Elijah Moore,PHI,,Britain Covey,PHI,WR,40.0
J.T. Gray,PHI,,Jack Stoll,PHI,TE,35.29411764705882
John Ojukwu,PHI,,John Ross,PHI,WR,60.0
Ambry Thomas,PHI,,Parris Campbell,PHI,WR,44.44444444444444
Jeremiah Trotter Jr.,PHI,,Tanner McKee,PHI,QB,42.85714285714286
Stone Smartt,PHI,,Saquon Barkley,PHI,RB,46.15384615384615
Dameon Pierce,PHI,,Kenny Pickett,PHI,QB,53.84615384615385
Top 51 Cutoff,PHI,,Jack Stoll,PHI,TE,40.0
Tariq Castro-Fields,PHI,,Tyrion Davis-Price,PHI,RB,51.42857142857142
Jakorian Bennett,PHI,,Ben VanSumeren,PHI,LB,46.666666666666664
Ta'Quon Graham,PHI,,Saquon Barkley,PHI,RB,51.85185185185186
Mac McWilliams,PHI,,Marcus Mariota,PHI,QB,50.0
Smael Mondon Jr.,PHI,,DeVonta Smith,PHI,WR,48.0
Drew Kendall,PHI,,Albert Okwuegbunam,PHI,TE,40.0
Samori Toure,PHI,,Tyrion Davis-Price,PHI,RB,41.379310344827594
Michael Jordan,PHI,,Braden Mann,PHI,P,48.0
Elijah Mitchell,PHI,,Ainias Smith,PHI,WR,51.85185185185186
Chance Campbell,PHI,,Parris Campbell,PHI,WR,66.66666666666667
Darius Cooper,PHI,,Parris Campbell,PHI,WR,57.14285714285714
Cameron Latu,PHI,,Grant Calcaterra,PHI,TE,50.0
Danny Gray,PHI,,Rashaad Penny,PHI,RB,52.17391304347826
Jose Ramirez,PHI,,Ben VanSumeren,PHI,LB,46.15384615384615
Carson Steele,PHI,,Boston Scott,PHI,RB,48.0
Brandon Johnson,PHI,,Braden Mann,PHI,P,61.53846153846154
Andre' Sam,PHI,,D'Andre Swift,PHI,RB,66.66666666666667
Cole Payton,PHI,,Saquon Barkley,PHI,RB,48.0
Cameron Williams,PHI,,Parris Campbell,PHI,WR,51.61290322580645
Micah Morris,PHI,,Parris Campbell,PHI,WR,51.85185185185186
Myles Hinton,PHI,,Johnny Wilson,PHI,WR,48.0
Cole Wisniewski,PHI,,Quez Watkins,PHI,WR,44.44444444444444
Uar Bernard,PHI,,Braden Mann,PHI,P,54.54545454545454
Keyshawn James-Newby,PHI,,Rashaad Penny,PHI,RB,43.75
Kapena Gushiken,PHI,,Jalen Hurts,PHI,QB,46.15384615384615
Zion Wilson,PHI,,Johnny Wilson,PHI,WR,50.0
Maximus Pulley,PHI,,Jalen Hurts,PHI,QB,40.0
Joshua Weru,PHI,,John Ross,PHI,WR,50.0
Dae'Quan Wright,PHI,,D'Andre Swift,PHI,RB,53.84615384615385
Rocco Underwood,PHI,,Tanner McKee,PHI,QB,37.03703703703704
Jaeden Roberts,PHI,,John Ross,PHI,WR,52.17391304347826
Deontae Lawson,PHI,,DeVonta Smith,PHI,WR,59.25925925925925
Markel Bell,PHI,,Parris Campbell,PHI,WR,53.84615384615385
Willie Lampkin,PHI,,Kenneth Gainwell,PHI,RB,46.666666666666664
Jake Majors,PHI,,Saquon Barkley,PHI,RB,48.0
Gabe Hall,PHI,,Jack Stoll,PHI,TE,42.10526315789473
Hollin Pierce,PHI,,Kenny Pickett,PHI,QB,46.15384615384615
